526540,Ms.,Angelique,K,Goodwin,F,angelique.goodwin@gmail.com,Rick Goodwin,Dorian Goodwin,Maxey,5/15/1964,0.157476852,53.24,56,3/24/2001,Q1,H1,2001,3,March,Mar,24,Saturday,Sat,16.36,193710,0.27,471-57-0359,212-884-7146
859327,Ms.,Jeni,S,Shaffer,F,jeni.shaffer@gmail.com,Ryan Shaffer,Love Shaffer,Gunderson,1/13/1962,0.466331019,55.58,54,42289,Q4,H2,2015,12,December,Dec,10,Thursday,Thu,1.63,144133,0.3,624-85-4146,205-665-7020
887387,Ms.,Donald,T,Farris,F,donald.farris@bellsouth.net,Mauro Farris,Edyth Farris,Greer,21493,0.999201389,59.34,40,29200,Q4,H2,1979,11,November,Nov,12,Monday,Mon,37.73,132617,0.18,097-02-3315,205-959-7879
779497,Hon.,Steven,D,Rendon,M,steven.rendon@gmail.com,Elden Rendon,Angela Rendon,Ortiz,30045,0.046180556,35.34,81,9/18/2008,Q3,H2,2008,9,September,Sep,18,Thursday,Thu,8.86,77898,0.15,134-98-6566,217-858-0054
896517,Drs.,Jenell,L,Almanza,F,jenell.almanza@yahoo.com,Clifford Almanza,Vergie Almanza,Darby,21192,0.186736111,59.12,47,7/14/1993,Q3,H2,1993,7,July,Jul,14,Wednesday,Wed,24.05,139856,0.06,599-92-7345,314-893-2590
220965,Mrs.,Almeta,Y,Brookins,F,almeta.brookins@gmail.com,Richard Brookins,Angelika Brookins,Pape,31264,0.147881944,32.24,41,4/25/2017,Q2,H1,2017,4,April,Apr,25,Tuesday,Tue,0.26,90576,0.23,109-98-3095,229-238-0915
721091,Prof.,Bobbie,E,Branson,M,bobbie.branson@hotmail.com,Joan Branson,Nu Branson,Frazer,35340,0.991400463,21.48,71,4/27/2017,Q2,H1,2017,4,April,Apr,27,Thursday,Thu,0.25,178641,0.1,047-15-8435,216-849-6986
633636,Prof.,Bertram,R,Carlisle,M,bertram.carlisle@aol.com,Ivory Carlisle,Bao Carlisle,Cintron,12/31/1982,0.850428241,34.6,61,40950,Q4,H2,2012,11,November,Nov,2,Friday,Fri,4.74,163773,0.1,257-99-3865,215-614-1953
823898,Prof.,Carlton,E,Leclair,M,carlton.leclair@cox.net,Elroy Leclair,Georgann Leclair,Merchant,3/17/1986,0.657638889,31.39,56,39995,Q1,H1,2009,1,January,Jan,7,Wednesday,Wed,8.56,50397,0.29,044-15-4027,319-943-1308
413865,Mr.,Todd,R,Slater,M,todd.slater@earthlink.net,Donnie Slater,Shay Slater,Conaway,34948,0.44087963,22.15,58,42919,Q1,H1,2017,3,March,Mar,7,Tuesday,Tue,0.39,54458,0.12,553-99-2106,218-671-2547
